Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Daniel, I., Pesantez, J., Letzgus, S., Khaksar Fasaee, M.A., Alghamdi, F., Berglund, E., Mahinthakumar, G., Cominola, A.",57564394700;57209307038;57193607078;57193115962;13004558000;56394090200;57202986260;35810193200;,A Sequential Pressure-Based Algorithm for Data-Driven Leakage Identification and Model-Based Localization in Water Distribution Networks,2022,Journal of Water Resources Planning and Management,148,6,4022025,,,,11,10.1061/(ASCE)WR.1943-5452.0001535,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127700524&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001535&partnerID=40&md5=aa62667d362280da6bf13832ad1623af,Article,Final,,Scopus,2-s2.0-85127700524
"Lewis, A.C., Khedun, C.P., Kaiser, R.A.",57195479042;36188305000;26661788900;,Assessing Residential Outdoor Water Conservation Potential Using Landscape Water Budgets,2022,Journal of Water Resources Planning and Management,148,6,4022023,,,,1,10.1061/(ASCE)WR.1943-5452.0001547,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127460047&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001547&partnerID=40&md5=e1f135b82b42c0963dc9af43a0e95139,Article,Final,,Scopus,2-s2.0-85127460047
"Ding, W., Yu, B., Peng, Y., Han, G., Zhang, L.",56701589000;57199692200;36070982500;57558656600;57191478579;,Evaluating the Marginal Utility of Two-Stage Hydropower Scheduling,2022,Journal of Water Resources Planning and Management,148,6,4022024,,,,2,10.1061/(ASCE)WR.1943-5452.0001556,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127411473&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001556&partnerID=40&md5=e012de54e938a7e4bf31e80e623c0d10,Article,Final,,Scopus,2-s2.0-85127411473
"Tiedmann, H.R., Spearing, L.A., Sela, L., Kinney, K., Kirisits, M.J., Katz, L.E., Kaminsky, J., Faust, K.M.",57557622500;57215414086;57201085040;7003958250;6603040442;7202789777;55337012900;55803401200;,Modeling in the COVID-19 Pandemic: Overcoming the Water Sector's Data Struggles to Realize the Potential of Hydraulic Models,2022,Journal of Water Resources Planning and Management,148,6,5022003,,,,,10.1061/(ASCE)WR.1943-5452.0001561,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127391173&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001561&partnerID=40&md5=b1063b50d7d18202a0914275b015ca7e,Article,Final,,Scopus,2-s2.0-85127391173
"Meng, W., Wan, W., Zhao, J., Wang, Z.",57553040100;57189871306;7410314498;56268839500;,Optimal Operation Rules for Parallel Reservoir Systems with Distributed Water Demands,2022,Journal of Water Resources Planning and Management,148,6,4022020,,,,1,10.1061/(ASCE)WR.1943-5452.0001537,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127211047&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001537&partnerID=40&md5=26b0d32deef10bffada7158989892e86,Article,Final,,Scopus,2-s2.0-85127211047
"Abhijith, G.R., Ostfeld, A.",57205879870;7005595203;,Examining the Longitudinal Dispersion of Solutes Inside Water Distribution Systems,2022,Journal of Water Resources Planning and Management,148,6,4022022,,,,1,10.1061/(ASCE)WR.1943-5452.0001562,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126775609&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001562&partnerID=40&md5=632b91c39351f8330702ce40580aedac,Article,Final,,Scopus,2-s2.0-85126775609
"Wang, X., Li, J., Liu, S., Yu, X., Ma, Z.",57197824301;57206965769;23097654600;57218671526;57212213020;,Multiple Leakage Detection and Isolation in District Metering Areas Using a Multistage Approach,2022,Journal of Water Resources Planning and Management,148,6,4022021,,,,4,10.1061/(ASCE)WR.1943-5452.0001558,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126751740&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001558&partnerID=40&md5=db7569cf3bcd36a4b9dec3f95088cd32,Article,Final,,Scopus,2-s2.0-85126751740
"Chew, A.W.Z., Wu, Z.Y., Walski, T., Meng, X., Cai, J., Pok, J., Kalfarisi, R.",57257244800;26031765900;35270422800;57555297300;57554835300;57554584600;57215535359;,Daily Model Calibration with Water Loss Estimation and Localization Using Continuous Monitoring Data in Water Distribution Networks,2022,Journal of Water Resources Planning and Management,148,5,4022019,,,,4,10.1061/(ASCE)WR.1943-5452.0001546,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127256952&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001546&partnerID=40&md5=ea34f9379542d051382710c52a8789f3,Article,Final,,Scopus,2-s2.0-85127256952
"Zhu, D., Chen, H., Mei, Y., Xu, X., Guo, S.",57216317357;57190745212;16313375100;57208614216;55488888800;,Exploration of Relationships between Flood Control Capacity and Peak Flow Reduction in a Multireservoir System Using an Optimization-Clustering-Fitting Framework,2022,Journal of Water Resources Planning and Management,148,5,5022002,,,,1,10.1061/(ASCE)WR.1943-5452.0001549,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127058633&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001549&partnerID=40&md5=ffc7d1f53d793bac3b8368ea0c02ad25,Article,Final,,Scopus,2-s2.0-85127058633
"Romero-Ben, L., Alves, D., Blesa, J., Cembrano, G., Puig, V., Duviella, E.",57313673000;57202961425;35085719800;6603334273;35238237400;14519049600;,Leak Localization in Water Distribution Networks Using Data-Driven and Model-Based Approaches,2022,Journal of Water Resources Planning and Management,148,5,4022016,,,,5,10.1061/(ASCE)WR.1943-5452.0001542,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127049938&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001542&partnerID=40&md5=5cb7a8ac6f4e6358151d6594a3928261,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85127049938
"Sivakumar, P., Gorev, N.B., Gupta, R., Tanymboh, T.T., Suribabu, C.R., Nivedita, S.",55266030000;7007026723;16144007800;57550760100;14822610500;57222101971;,"Discussion of ""simplified Pressure-Driven Analysis of Water Distribution Network and Resilience Estimation"" by T. R. Neelakantan and K. Rohini",2022,Journal of Water Resources Planning and Management,148,5,7022002,,,,,10.1061/(ASCE)WR.1943-5452.0001554,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127048801&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001554&partnerID=40&md5=43f6a9c10e41179ff7ea83f07dd5d73d,Note,Final,,Scopus,2-s2.0-85127048801
"Xing, L., Sela, L.",57208442137;57201085040;,Graph Neural Networks for State Estimation in Water Distribution Systems: Application of Supervised and Semisupervised Learning,2022,Journal of Water Resources Planning and Management,148,5,4022018,,,,6,10.1061/(ASCE)WR.1943-5452.0001550,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127037626&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001550&partnerID=40&md5=e5817cf15ac1d8e360aeec59f4025297,Article,Final,,Scopus,2-s2.0-85127037626
"Souza, R.G., Meirelles, G., Brentan, B.",57402393400;57195289413;55898255600;,Energy and Hydraulic Efficiency in Intermittent Operation of Water Distribution Networks,2022,Journal of Water Resources Planning and Management,148,5,4022017,,,,2,10.1061/(ASCE)WR.1943-5452.0001552,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127033688&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001552&partnerID=40&md5=7cb190a9fc9fd412b607e4b3122201c8,Article,Final,,Scopus,2-s2.0-85127033688
"Sowby, R.B.",56736830000;,"Discussion of ""estimating Agricultural Groundwater Withdrawals with Energy Data"" by Jonathan R. Martindill, Robert T. Good, and Frank J. Loge",2022,Journal of Water Resources Planning and Management,148,5,7022001,,,,1,10.1061/(ASCE)WR.1943-5452.0001553,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127018469&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001553&partnerID=40&md5=b5a7642d6f055fdb953a77befef8a9b2,Note,Final,,Scopus,2-s2.0-85127018469
"Zanfei, A., Menapace, A., Granata, F., Gargano, R., Frisinghelli, M., Righetti, M.",57221663277;57200696072;36801761600;14048345300;57194555882;9844844600;,An Ensemble Neural Network Model to Forecast Drinking Water Consumption,2022,Journal of Water Resources Planning and Management,148,5,4022014,,,,10,10.1061/(ASCE)WR.1943-5452.0001540,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127003152&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001540&partnerID=40&md5=88070007dea7d5424709cf9b5e233e4e,Article,Final,,Scopus,2-s2.0-85127003152
"Nouri, A., Saghafian, B., Bazargan-Lari, M.R., Delavar, M., Hassanjabbar, A.",58045571600;6602296455;24757912800;56339088800;57207250289;,Impact of Penalty Policy on Farmers' Overexploitation Based on Agent-Based Modeling Framework,2022,Journal of Water Resources Planning and Management,148,5,4022015,,,,1,10.1061/(ASCE)WR.1943-5452.0001543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126978272&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001543&partnerID=40&md5=9a07041a2275245a492a31123081be40,Article,Final,,Scopus,2-s2.0-85126978272
"Pankaj, B.S., Jaykrishnan, G., Ostfeld, A.",14018493700;57231187400;7005595203;,Optimizing Water Quality Treatment Levels for Water Distribution Systems under Mixing Uncertainty at Junctions,2022,Journal of Water Resources Planning and Management,148,5,4022013,,,,3,10.1061/(ASCE)WR.1943-5452.0001544,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125658806&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001544&partnerID=40&md5=33686efbf9104da094d8b59b13cc2d3b,Article,Final,,Scopus,2-s2.0-85125658806
"Tizmaghz, Z., Van Zyl, J.E., Henning, T.F.P.",57474150400;12242479800;55215189200;,Consistent Classification System for Sewer Pipe Deterioration and Asset Management,2022,Journal of Water Resources Planning and Management,148,5,4022011,,,,2,10.1061/(ASCE)WR.1943-5452.0001545,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125586292&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001545&partnerID=40&md5=2fac661cae3bd895a765e83ea1837ef6,Article,Final,,Scopus,2-s2.0-85125586292
"Salomons, E., Housh, M.",8683860000;43261326600;,Smart Water Meters Can Save Lives during the COVID-19 Pandemic,2022,Journal of Water Resources Planning and Management,148,5,2522003,,,,2,10.1061/(ASCE)WR.1943-5452.0001548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125502910&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001548&partnerID=40&md5=b7e881ef999335684f51e0e57004e87e,Article,Final,,Scopus,2-s2.0-85125502910
"Menezes, F.M., Capodeferro, M.W., Smiderle, J.J., Guimarães, P.E.",7003915132;57219557543;57219560279;57470295800;,Estimating Efficient Water Prices in the Sao Marcos River Basin: A Residual Imputation Approach,2022,Journal of Water Resources Planning and Management,148,5,6022001,,,,2,10.1061/(ASCE)WR.1943-5452.0001538,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125461376&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001538&partnerID=40&md5=24cacfa9a0f678aa1199bdb181eb11e6,Article,Final,,Scopus,2-s2.0-85125461376
"Zhang, B., Li, Y., Zhu, T., Fu, G., Zhang, C., Xu, M.",57215828677;36570524800;8860028600;55499297600;55862061100;57470252400;,Basin-Wide Water Resources Management Strategies Improve Cooperation Effectiveness and Benefits,2022,Journal of Water Resources Planning and Management,148,5,4022010,,,,,10.1061/(ASCE)WR.1943-5452.0001526,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125441305&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001526&partnerID=40&md5=f8a41911afe7a97ab03636811f8dfc26,Article,Final,,Scopus,2-s2.0-85125441305
"Carravetta, A., Del Giudice, G., Fecarotta, O., Gallagher, J., Cristina Morani, M., Ramos, H.M.",56521531900;58044921800;36503779200;56576460200;57205555332;35568240000;,"Potential Energy, Economic, and Environmental Impacts of Hydro Power Pressure Reduction on the Water-Energy-Food Nexus",2022,Journal of Water Resources Planning and Management,148,5,4022012,,,,3,10.1061/(ASCE)WR.1943-5452.0001541,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125048826&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001541&partnerID=40&md5=9541fa60a1e00cfd7e1217632aa75104,Article,Final,,Scopus,2-s2.0-85125048826
"Owusu, A., Mul, M., Van Der Zaag, P., Slinger, J.",57203402018;14632206200;56729222000;15037212700;,May the Odds Be in Your Favor: Why Many Attempts to Reoperate Dams for the Environment Stall,2022,Journal of Water Resources Planning and Management,148,5,4022009,,,,3,10.1061/(ASCE)WR.1943-5452.0001521,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118993358&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001521&partnerID=40&md5=d043f150f0067719a99481ec9dd26fa2,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85118993358
"Zeidan, M., Ostfeld, A.",57202609397;7005595203;,Using Hydraulic Transients for Biofilm Detachment in Water Distribution Systems: Approximated Model,2022,Journal of Water Resources Planning and Management,148,4,4022008,,,,2,10.1061/(ASCE)WR.1943-5452.0001539,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125094735&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001539&partnerID=40&md5=2c3e3c63dd87a5b010f8bd013ddebe13,Article,Final,,Scopus,2-s2.0-85125094735
"Morgan, B., Lane, B.",58253184200;55975114800;,Accounting for Uncertainty in Regional Flow-Ecology Relationships,2022,Journal of Water Resources Planning and Management,148,4,5022001,,,,1,10.1061/(ASCE)WR.1943-5452.0001533,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125089395&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001533&partnerID=40&md5=0026d683d1e36397f8675575198306f9,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85125089395
"Olson, C., Ghanbari, M., Arabi, M., Roesner, L.",35099288000;57207256856;14520309600;7003457046;,Appraisal of Steady-State Stormwater Control Measure Pollutant Removal Models within a Dynamic Stormwater Routing Framework,2022,Journal of Water Resources Planning and Management,148,4,4022006,,,,,10.1061/(ASCE)WR.1943-5452.0001528,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124705938&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001528&partnerID=40&md5=d71aa97c1e0a9c5060f70e5539de031d,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85124705938
"Alberto, Y., De La Llera, J.C., Aguirre, P., Monsalve, M., Molinos, M.",57222126258;6701308539;25225411600;57201522541;57445531100;,"Comparative Qualitative and Quantitative Analyses of the Seismic Performance of Water Networks during the Maule 2010, Christchurch 2010-2011, and Tohoku 2011 Earthquakes",2022,Journal of Water Resources Planning and Management,148,4,4022004,,,,,10.1061/(ASCE)WR.1943-5452.0001520,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124292612&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001520&partnerID=40&md5=885de392a6b534f63e14016726949c81,Article,Final,,Scopus,2-s2.0-85124292612
"Price, E., Ostfeld, A.",55356097700;7005595203;,A Graph Theory-Based Layout Algorithm for PRVs Placement and Setpoint Determination in Water Distribution Systems,2022,Journal of Water Resources Planning and Management,148,4,4022005,,,,3,10.1061/(ASCE)WR.1943-5452.0001529,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124283232&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001529&partnerID=40&md5=9f6fcd15074702c2f9ef3cf599e2286f,Article,Final,,Scopus,2-s2.0-85124283232
"Romero, L., Blesa, J., Puig, V., Cembrano, G.",57216855963;35085719800;35238237400;6603334273;,Clustering-Learning Approach to the Localization of Leaks in Water Distribution Networks,2022,Journal of Water Resources Planning and Management,148,4,4022003,,,,9,10.1061/(ASCE)WR.1943-5452.0001527,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124080302&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001527&partnerID=40&md5=5e098d607ca185f2655df832eca33a15,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85124080302
"Towler, E., Woodson, D., Baker, S., Ge, M., Prairie, J., Rajagopalan, B., Shanahan, S., Smith, R.",14421692400;57209735941;57208166996;57206162259;6506362501;7006193614;9839530700;57071843600;,Incorporating Mid-Term Temperature Predictions into Streamflow Forecasts and Operational Reservoir Projections in the Colorado River Basin,2022,Journal of Water Resources Planning and Management,148,4,4022007,,,,3,10.1061/(ASCE)WR.1943-5452.0001534,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121719931&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001534&partnerID=40&md5=aaf62ece3445236308b4b27442448c63,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85121719931
"Shih, D.-S., Chiu, Y.-C., Wang, K.",16069507600;36141849000;57426158000;,Combined Numerical Simulation and Groundwater Depletion Sensitivity Analysis for Dynamic Pumping Management,2022,Journal of Water Resources Planning and Management,148,3,4022002,,,,1,10.1061/(ASCE)WR.1943-5452.0001530,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123441260&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001530&partnerID=40&md5=b952be3317028affc2df4fe469577b76,Article,Final,,Scopus,2-s2.0-85123441260
"Housh, M., Salomons, E., Sela, L., Simpson, A.R.",43261326600;8683860000;57201085040;7402780493;,Water Distribution Systems on the Spot: Energy Market Opportunities for Water Utilities,2022,Journal of Water Resources Planning and Management,148,3,2522002,,,,1,10.1061/(ASCE)WR.1943-5452.0001532,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122946219&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001532&partnerID=40&md5=0a7252a4d697815e0acc54c8d4718906,Article,Final,,Scopus,2-s2.0-85122946219
"Bohorquez, J., Lambert, M.F., Alexander, B., Simpson, A.R., Abbott, D.",56638057000;24923543300;57193781708;7402780493;56053895400;,Stochastic Resonance Enhancement for Leak Detection in Pipelines Using Fluid Transients and Convolutional Neural Networks,2022,Journal of Water Resources Planning and Management,148,3,4022001,,,,4,10.1061/(ASCE)WR.1943-5452.0001504,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122838303&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001504&partnerID=40&md5=6e9cfb1d25b898dee67692b066bd361f,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85122838303
"Sowby, R.B., Grigg, N.S.",56736830000;7005653169;,"More Papers, More Authors, More References: What Does It Mean for Water Resources Planning and Management?",2022,Journal of Water Resources Planning and Management,148,3,2522001,,,,1,10.1061/(ASCE)WR.1943-5452.0001525,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122791495&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001525&partnerID=40&md5=a29060eab60ab632d5d4c0f24b661150,Review,Final,,Scopus,2-s2.0-85122791495
"Creaco, E., Di Nardo, A., Iervolino, M., Santonastaso, G.",56037591400;7004537402;14070269300;55336890100;,High-Order Global Algorithm for the Pressure-Driven Modeling of Water Distribution Networks,2022,Journal of Water Resources Planning and Management,148,3,81031,,,,7,10.1061/(ASCE)WR.1943-5452.0001524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122639417&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001524&partnerID=40&md5=a864385f7d79c2c307e5e0971563da3b,Article,Final,,Scopus,2-s2.0-85122639417
"Su, Y., Kern, J., Characklis, G.W.",57193567145;55966827000;6603397589;,Retail Load Defection Impacts on a Major Electric Utility′s Exposure to Weather Risk,2022,Journal of Water Resources Planning and Management,148,3,4021108,,,,,10.1061/(ASCE)WR.1943-5452.0001531,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122456048&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001531&partnerID=40&md5=45027bd7cee9ba9bd84635afb9256257,Article,Final,,Scopus,2-s2.0-85122456048
"Wu, J., Ma, D., Wang, W.",57213627066;26025678000;56948645800;,Leakage Identification in Water Distribution Networks Based on XGBoost Algorithm,2022,Journal of Water Resources Planning and Management,148,3,4021107,,,,11,10.1061/(ASCE)WR.1943-5452.0001523,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122422830&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001523&partnerID=40&md5=bb5c4aa684c9f42b4b64399c409ff1d3,Article,Final,,Scopus,2-s2.0-85122422830
"Steffelbauer, D.B., Deuerlein, J., Gilbert, D., Abraham, E., Piller, O.",56429764000;23972116900;56260232300;57254673500;23091947000;,Pressure-Leak Duality for Leak Detection and Localization in Water Distribution Systems,2022,Journal of Water Resources Planning and Management,148,3,4021106,,,,11,10.1061/(ASCE)WR.1943-5452.0001515,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122231371&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001515&partnerID=40&md5=72b33d2464936e033757a337cb24d40f,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85122231371
"Klessens, T.M.A., Daniel, D., Jiang, Y., Van Breukelen, B.M., Scholten, L., Pande, S.",57394387800;57208424232;57394679800;6602305955;55745454500;16068916900;,"Combining Water Resources, Socioenvironmental, and Psychological Factors in Assessing Willingness to Conserve Groundwater in the Vietnamese Mekong Delta",2022,Journal of Water Resources Planning and Management,148,3,5021034,,,,3,10.1061/(ASCE)WR.1943-5452.0001516,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122149753&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001516&partnerID=40&md5=14780b1b72bb73eff061aa0f97cbbb0a,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85122149753
"Jun, S., Arbesser-Rastburg, G., Fuchs-Hanusch, D., Lansey, K.",26655735600;57209311077;22978815300;7006358548;,Response Surfaces for Water Distribution System Pipe Roughness Calibration,2022,Journal of Water Resources Planning and Management,148,3,4021105,,,,3,10.1061/(ASCE)WR.1943-5452.0001518,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122017535&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001518&partnerID=40&md5=1e77f560c30786b0a7cc6bbd680a1f93,Article,Final,,Scopus,2-s2.0-85122017535
"Samil Güneş, M., Ylldlz, D., Sevinç Kurnaz, F.",57195401383;57213757082;56581920500;,A Comparative Assessment of Municipal Water Use in Turkey,2022,Journal of Water Resources Planning and Management,148,2,5021033,,,,1,10.1061/(ASCE)WR.1943-5452.0001514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121557514&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001514&partnerID=40&md5=f1d73a45a150f0becf4232383b30b916,Article,Final,,Scopus,2-s2.0-85121557514
"Smull, E., Patterson, L., Doyle, M.",57220159422;22951867700;7401483945;,Rising Market Risk Exposure of Municipal Water Service Providers in Distressed Cities,2022,Journal of Water Resources Planning and Management,148,2,5021032,,,,3,10.1061/(ASCE)WR.1943-5452.0001506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121485678&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001506&partnerID=40&md5=d3670b456214e2f8d0f8c5fd7398f797,Article,Final,,Scopus,2-s2.0-85121485678
"Ayati, A.H., Haghighi, A., Ghafouri, H.R.",57185500100;30467660000;6602871454;,Machine Learning-Assisted Model for Leak Detection in Water Distribution Networks Using Hydraulic Transient Flows,2022,Journal of Water Resources Planning and Management,148,2,4021104,,,,3,10.1061/(ASCE)WR.1943-5452.0001508,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121479055&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001508&partnerID=40&md5=9475b0fd1150f5b69b4623ad4fd95087,Article,Final,,Scopus,2-s2.0-85121479055
"Hernandez Hernandez, E., Ormsbee, L.",57221817084;7003374473;,A Heuristic for Strategic Valve Placement,2022,Journal of Water Resources Planning and Management,148,2,4021103,,,,5,10.1061/(ASCE)WR.1943-5452.0001497,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121477614&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001497&partnerID=40&md5=7567dbbb0f9771650ccef0778fa4bc88,Article,Final,,Scopus,2-s2.0-85121477614
"Ermilio, J., Pattison, I., Sohail, M.",9235241800;54912612100;55761222500;,Performance Monitoring and Sustainable Management of Piped Water Supply Infrastructure in Developing Communities,2022,Journal of Water Resources Planning and Management,148,2,05021030J,,,,,10.1061/(ASCE)WR.1943-5452.0001470,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121328075&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001470&partnerID=40&md5=8e5b74feacee418227685d459bdea02e,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85121328075
"Stephens, M., Zhang, C., Lambert, M.",8706283400;57200443426;24923543300;,Rate of Change Processing of Acoustic Data from a Permanent Monitoring System for Pipe Crack Early Identification: A Case Study,2022,Journal of Water Resources Planning and Management,148,2,5021031,,,,3,10.1061/(ASCE)WR.1943-5452.0001517,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121316689&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001517&partnerID=40&md5=00c3fdc17b90e4d46364b66122e1afb5,Article,Final,,Scopus,2-s2.0-85121316689
"Prasad, R.K., Parmar, D.",57201124981;23010269200;,"Discussion of ""framework for Modeling Lead in Premise Plumbing Systems Using EPANET"" by Jonathan B. Burkhardt, Hyoungmin Woo, James Mason, Feng Shang, Simoni Triantafyllidou, Michael R. Schock, Darren Lytle, and Regan Murray",2022,Journal of Water Resources Planning and Management,148,2,7021022,,,,,10.1061/(ASCE)WR.1943-5452.0001519,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121288673&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001519&partnerID=40&md5=5ab2082f7fb17a8a8aea8b9bfae12e73,Note,Final,,Scopus,2-s2.0-85121288673
"Burkhardt, J.B., Woo, H., Shang, F., Triantafyllidou, S., Schock, M.R., Lytle, D., Murray, R.",56710980300;57208864873;57219340350;17436188900;7006000582;57210673818;35409986100;,"Closure to ""framework for Modeling Lead in Premise Plumbing Systems Using EPANET"" by Jonathan B. Burkhardt, Hyoungmin Woo, James Mason, Feng Shang, Simoni Triantafyllidou, Michael R. Schock, Darren Lytle, and Regan Murray",2022,Journal of Water Resources Planning and Management,148,2,7021023,,,,,10.1061/(ASCE)WR.1943-5452.0001522,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121285042&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001522&partnerID=40&md5=15051b5255cfba991ee4be267f2585d8,Note,Final,,Scopus,2-s2.0-85121285042
"Torell, G.L., Lee, K.D., Garnica, L.A., Mayer, A.S., Ward, F.A.",37073482000;57199191182;57209615527;7201374620;7102426364;,"Least-Cost Provision of Ecosystem Services from Water: When, Where, and How Much?",2022,Journal of Water Resources Planning and Management,148,2,4021100,,,,2,10.1061/(ASCE)WR.1943-5452.0001511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121115118&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001511&partnerID=40&md5=a95becf91780c518f30f6cfb8e3715d2,Article,Final,,Scopus,2-s2.0-85121115118
"Xu, W., Chen, J., Su, T., Kim, J.-S., Gu, L., Lee, J.-H.",57369619700;56425884500;57211266382;57970435800;57204756222;56162258800;,Cascading Model-Based Framework for the Sustainability Assessment of a Multipurpose Reservoir in a Changing Climate,2022,Journal of Water Resources Planning and Management,148,2,5021029,,,,3,10.1061/(ASCE)WR.1943-5452.0001501,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120982792&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001501&partnerID=40&md5=bd178fc96236f2a45d2417ea49e4378e,Article,Final,,Scopus,2-s2.0-85120982792
